party_id,document_text,document_lemmatized
AL,"","grøn alliance og momentum melde sig ind i alternative . vi gøre det ! tre grøn parti blive til ét.grøn alliance , momentum og alternative være blive enig om en samarbejde , hvor vi slå vi sammen i alternativ organisation . i sted for at stå splitte og kæmpe fra tre forskellig position , have vi nu samle vi . vi have samle vi for at styrke den grøn mandat i folketinget.og det være så glædelig , at vi være lykkes med det her . for jeg , for alternative , grøn alliance og momentum - og ikke mindst for kamp for at skabe en bæredygtig omstilling af vores samfund . særligt her foran en folketingsvalg.vi være nødt til at have en stærk grøn liste på stemmesedlen.vi være nødt til at gøre al for at sikre reel klimahandling og en fuldstændig bæredygtig omstilling af landbruget.vi være nødt til at gøre al for at modarbejde en borgerlig flertal efter valg på inger støjbergs og pernil vermund mandater.og nu have vi tage en enormt vigtig skridt ! tusind tak til du , Henrik vindfelt og til du , theresa scavenius . tak til hovedbestyrelse i grøn alliance , momentum og i alternativet.tak for at bakke op . om grøn sammenlægning , om alternative , om mig.og til al I anden : komme og blive en del af den grøn bevægelse ! franciska rosenkilde "
AL,""," fremtid jobcent . en af den stor potentiael i dansk beskæftigelsespolitik være at frisætte den ledig arbejdskraft fra industrisamfund kasse , kontrol og disciplinering . vanetænkning fra fortid herske stadig her – endda forstærke gennem den sen årti i forsøg på at øge arbejdsudbudd ved at gøre liv som arbejdsløs mere trælsomt . med denne forslag ville alternative tage en opgør med en af den helligste dogm i dansk politik.d være tydelig for den mange at beskæftigelsespolitikk og jobcentr fejle på mange områd . både borger , jobcentermedarbejder , fagforening , virksomhed , social- og sundheds- sektor klage over mangel på fleksibilit og almindelig sund fornuft . alligevel blive det ved den politisk lappeløsninge – selv efter at kommun landsforening have anbefale at skrotte hel lovgivning og begy forfra.historisk have der i den liberal demokratium være en bevægelse væk fra tvang og disciplinering af arbejdskraft henimod stor grad af frisættelse og økonomisk tryghed . fra stavnsbånd ophævelse , slaveri ophør , rettighed for lønmodtag og grundlov bestemmelse om , at enhver uden egen indkomst skulle sikre økonomisk af samfund – alternative ville have vores samfund videre på den vej.hvis vi skulle væk fra den uendelig lappeløsninge og skabe fremtid jobcent , må vi gå til problem rod . hvis vi bare skrotte den nuværende 30.000 sid regel og begynde forfra , risikere vi at gentage fortid fejl . vi må forstå , hvorfor vi være ende med en over-bureaukratisere jobcenter-system , hvor den faglig medarbejder må bruge langt meget tid på system behov end på borgerne og virksomhed behov.gennemgår man beskæftigelseslovgivning blive det klar , at en stor del af regle udspringe af rådighedspligt og den deraf følge krav , sanktion , afgrænsning og undtagelse . det være en uundgåelig konsekvens af den kraftig myndighedsindgreb , som rådighedspligt give anledning til.derfor være præmiss for alternativ forslag om fremtid jobcent , at vi afskaffe rådigheds- pligt . i dag hedde det i lovgivning at “ hvis man kunne arbejde , skulle man arbejde ” . vi have tillid til at vores social norm om , at “ hvis man kunne arbejde , burde man arbejde ” være stærk nok til at klare sig uden en “ skal”-lovbud . specielt når arbejdsbegreb udvide så det ikke udelukkende betyde lønarbejde . det åbne til gengæld mange ny mulighed for at indrette vores beskæftigelses- indsats og jobcenter basere på tillid , faglighed og forpligtende fællesskaber.d give reel mulighed for at adskille beskæftigelses- og social-indsats , hvor vi i dag blande den to sammen på uheldig måder , hvor jobcentre alt for ofte står i vej for social og sundhedsmæssig indsatser.d kræve en anden rammesætning – på den næste side præsentere vi alternativ bud på en organisering af fremtid jobcent – som burde hedde nogen helt andet.læs udspille "
AL,""," forsøg med tandlægebehandling uden brugerbetaling . folketing parti og skifte regering være alt for lidt opmærksom på konsekvens af borg tandprobleme , påpege alternative . tandprobleme påvirke i stor omfang borgerne livskvalitet og arbejdsevne . å lægge derfor op til en 3-årig forsøgsordning , hvor tandlægebehandling helt skulle fritage for egenbetaling i lighed med lægebesøg og hospitalsbehandling . ordning kunne blandt_andet finansiere af ubruge middel fra eksistere tilskudsbehandling.”undersøgelser vise , at der være sammenhæng mellem tandsygdomm og anden alvorlig lidelse , som for_eksempel hjertekarsygdomme , diabetes , gig og altzheimers , advare alternativ politisk ordfører , torst gejl.”vi foreslå , at folketing give grøn lys til en forsøgsordning , der skulle afdække den aflede effekt af tandbehandling uden brugerbetaling på borg trivsel , på udbud og tilgængelighed af arbejdskraft , på administration og på den sundhedsmæssig forebyggelse . vi forestille vi , at forsøg omfatte en repræsentativ gruppe borger over 18 år med en årlig indtægt under 350.000 krone forsøg kunne finansiere af blandt_andet ubruge middel fra tilskudsordning , der allerede findes , men som kun i ring grad benytte , fordi ansøgningsprocedure være meget komplekse ” , forklare torst gejl.”vise forsøg den forvente positiv effekt , foreslå alternative en endelig u-bureaukratisk model , der automatisk give borger adgang til behandling uden egenbetaling eller til reducere udgift til tandlægebehandling , på samme måde , som vi kende det fra fripladse i daginstitution , hvor der tage udgangspunkt i husstandsindkomst . vi foreslå , at der som udgangspunkt ikke være egenbetaling på tandbehandling , og at det være den personlig indkomst , der lægge til grund for evt. delvis brugerbetaling ” . kontakt mf og politisk ordfører alternative , torst gejl , mobil 61 62 46 51læs udspille her "
AL,""," ny vision for dyrevelfærd . god velfærd for dyr gå hånd i hånd med nogen af løsninge på anden stor problematikker.vor fødevareproduktion stå for cirka en tredjedel af danmark klimabelastning , hvoraf dyreproduktion stå for den meget af den tredjedel . grunde vores tilslutning til parisaftale , skulle også landbrug levere klimagas-reduktion . landbrug og blive derfor nødt til at skrue ned for dyreproduktion og op for planteproduktion til fødevare , hvis klimamål skulle kunne nås . vi kunne kun nå vores klimamål ved at skære drastisk ned for dyreproduktionen.en reduktion af dyreproduktion hjælpe desuden på den meget stor ødelæggelser , vi se af dansk land- og havmiljø . udledninge af næringsstoffe fra animalsk landbrug skade sart natur og havmiljø i en omfang , der gøre , at vi ikke leve op til vores miljøbeskyttelsesforpligtelse i eu . desuden skade det vores biodiversitet , at lille end 0,5 % af danmark areal være vild natur . vi have for nyligt ligeledes se , hvordan en sygdom fra en anden art , kunne have vidtrækkende konsekvens for vi menneske . dansk landbrug være en tikke bombe under vores folkesundhed , da der allerede findes og hel tid blive skabe mange ny type resistente bakterie , som presse vores sundhedsvæse . mange forsker advare desuden om stor forekomst af influenza hos både gris og høns , der , hvis de springe til menneske , kunne have katastrofal konsekvens . risiko for denne falde med en reducere animalsk landbrug.sidst men ikke mindst være Danmark en af den land i verden , hvor der spise flest animalier , og denne sætte sin tydelig spor i forekomst af vis livsstilssygdomm , særligt vis kræftforme , diabetes og hjertekarsygdomme . Danmark have allerede tage den første skridt med progressive kostråd , men denne skulle følges op med en bred oplysning af befolkning . således ville vi kunne opnå stor besparelse i sundhedsvæsene , og antal af borg rask år kunne øge betydeligt.læs visione hervore dyrerettighedsordfører michael monberg have være drivkraft i at få opdatere vores vision om dyrevelfærd i samspil med fagråd for fødevare og dyrevelfærd , dyreetisk råd , franciska rosenkilde og torst gejl , politisk forum og hos alternativ medlem igennem alleos . "
AL,""," trafikal redningsplan for Danmark . vi skulle snart til valg . og en hver valg være som bekendt også en fravalg.danmark og eu står midt i en energi- og forsyningskrise som konsekvens af den højspændt situation i ukrain og efterdønning af forsyningsprobleme i forbindelse med covid19 . samtidig buldre den global klimakrise fortsat på vores dør i en sådan grad , at vores kær moder jord trygle og bede til , at vi i den vestlig verden – også i Danmark , ændre adfærd.hvis vi fortsætte som hidtil , ville vi ydermere kigge ind i en trafikal blindgyde med enorm konsekvens for vores land . en situation , hvor vi komme til at anvende endnu meget areal på at skaffe plads til markant mange bil og lastvogn på vej , samtidig med at trængsl , klima- og miljøbelastning og al den øvrig problem med vejbår trafik fortsat ville vokse . det være dog den få , som indtil videre være klar over det og være opmærksom på , at danmark være på vej i netop den retning med den nuværende politik.energistyrelsen klimafremskrivning 2022 indiker , at der med ” frozen policy ” – altså en videreførelse af den politisk kurs som pt. være udstukke og vedtage , ville være 600.000-1.000.000 mange personbile i Danmark i 2030-2035 - oven i den 2,8 million personbile vi allerede have ! antal af varevogne forvente at stige med yderligere 50.000 til i alt 450.000 varevogn , og antal af lastbil ville stige med 10.000 til i alt 50.000 lastbil . hvis vi i dag synes , at vi have mange bil og anden stor køretøj på vores gade og stræde , hvis vi i dag opleve at lide under trafikstøj eller hvis vi som ” blød ” eller ny trafikant føle vi utrygge , når vi sætte vi op på sadle eller skulle krydse vej på vej til skole – ja , så have vi altså udsigt til at det blive endnu slem i år , der kommer.i samme periode forvente vi kun at blive 250.000 mange indbygger i Danmark . den officiel fremskrivning sige altså , at vi skulle have fire bil mange for hver ny borg i Danmark frem mod 2035 . det sige næsten sig selv , at den fremskrevn , trafikal udvikling være hverken bæredygtig eller ønskværdig.d fremtid , vi lige nu kigge ud i frem mod 2035 , være konsekvense af den sidste par politisk aftale og årtiers lef for land bilejer . og det være konsekvense af , at den økonomisk modell , som flertal bygge land trafikpolitik på , være dybt forælde . i modell være der kun én udvikling , som være ønskværdig og positiv : kvantitativ økonomisk vækst . og kun ét trafikal svar på økonomisk vækst : mange bil på vej ! det være denne tankegang , som låe bag , da regering og dens støtteparti , radikal venstre , sf og enhedslist , i december 2020 vedtog en bilaftale , som på ingen måder tage fat om nødvendighed af en grøn omstilling af den dansk bilpark . denne i egen forståelse ” grøn parti ” beslutte med åbne øje blandt anden at give en klækkelig afgiftsrabat på 8 milliard krone til plug-in hybridbile . denne på trods af , at forskning have dokumentere , at plug-in hybridbile køre på benzin / diesel halvdel af tid og derfor langt fra være nogen grøn , endsig bæredygtig teknologi.men bilaftale står ikke alene . det være også symptombehandling , da den bred politisk flertal – fra sf til ny borgerlig , i juni 2021 afsætte 60 milliard krone ekstra til mange motorvej og mere asfal og til støjbekæmpelse af vores trafik . vi nævne i flæng : motorvej til hillerød , til frederikssund , til næstved , til Kalundborg og en midtjysk hærvejsmotorvej . udvidelse af motorring 3 og avedøre- og øresundsmotorvej , motorvej syd om odense og e45 fra kolding til nord for aarhus . hertil kunne vi lægge 3. limfjordsforbindelse over egholm . aftale rumme også flertal for , at der skulle igangsætte forundersøgels af en tværmotorvej fra næstved via slagelse til Kalundborg og en als-fyn-forbindelse . og som prikk over i ’ en lure en fast kattegat- forbindelse tværs igennem naturskøn røsnæs , samsø og østlig jylland fortsat i kulisse . al denne til trods for at al forskning og evid tilsige , at mere asfalt skabe meget trafik . ikke bare på statsvej , men også i bymidt , på parkeringsplads og ude på villavejene.regering love vi i forår 2021 en ” grøn mobilitetsplan ” , men vi blive spise af med en infrastrukturplan . mange håbe på markant ændring til fordel for klima , men vi må konstatere , at danmark have uændret trafikpolitisk kurs lige ind i betonblokke og autoværn . som en selvopfylde Profeti , hvor mere asfal føre til mange bil og mange bil kræve mere asfalt.alternativ mene , at vi være nødt at genåbne både bilaftale fra december 2020 og infrastrukturplane fra juni 2021 . med begge aftale på bord og med en ” fuld stop ” for al trafikal infrastrukturprojekter skulle vi viske tavle helt ren og starte på en frisk . med blik for en bæredygtig fremtid skulle parti på christiansborg genforhandl aftale og kun iværksætte de initiativ , som understøtte en reel grøn og bæredygtig omstilling af vores transportsektor i Danmark . og det haste ! denne udspil være alternativ bud på en trafikal redningsplan for Danmark . en plan som ville kunne skabe den mærkbare og nødvendig forandring – både på den helt kort bane og i år der komme , så vi dermed kunne undgå at vi som samfund skulle håndtere 1.000.000 mange bil i 2035.læs redningsplan her "
AL,""," forvaltningsdomstol . retssikkerhede i Danmark sejle . kommune kassetænke , da økonomi ofte veje tung end borg rettighed . og anke afgørelse til ankestyrels eller ombudsmand , være det suverænt kommune der bestemme , hvilken dokument der fremsende til belysning af sagen.klage borger over myndigheder afgørelse , løbe man ind i en kafkask scenarie , hvor sag kunne køre i ring mellem borg , kommune og ankestyrelse i en uendelighed . og klage behandle stor se kun skriftligt , og borger have ikke mulighed for at føre vidner.ankestyrels have hverken ret eller pligt til at prøve den skøn , der som hovedregel være , hvad der ligge til grund for kommune afgørelse . bringe sag for en domstol være denne sjældent villig til at udfordre og prøve forvaltning skøn . de forholde sig strengt til lovparagrafferne.endelig skulle man selv skulle betale for evt. advokatbistand , hvilken betyde , at mange borger slet ikke have råd til at prøve en afgørelse ved retten.alternativet have derfor stille forslag om at der oprette en forvaltningsdomstol , der skulle erstatte ankestyrelse og ombudsmand . forvaltningsdomstole skulle bestå af specialist i forvaltningsre . den kunne afprøve skøn , oplyse sag og have såvel tilsynsret- som pligt . som borg få fri proces , og kunne føre vidne . det betyde , at borger altid være i centrum , at økonomi ikke kunne få lov at gå forud for borger rettighed . fra system til relation ! "
AL,""," gas skulle være fortid . acceleration af omstilling til vedvarende energi i kølvand på Covid-19 , putins invasion af ukrain og stige forsyningsprobleme måtte det stå klar for al , at omstilling til en bæredygtig samfund , basere på vedvare energi , være en bunden opgave . og en opgave , som haster.for alternative være det en kæmpe tilbageskridt , hvis vi pga. stige olie- og gasprise tabe momentum i den grøn omstilling . i sted skulle vi benytte den nuværende krise til at sætte ekstra fart i den ændring , som gøre vores samfund mere bæredygtig og mindre sårbart over for forsyningskrise og udefrakomme politisk pression.alternativet ønske her-og-nu at styrke dansker mulighed for at ændre deres energiforbrug i en mere grøn og bæredygtig retning ved at støtte overgang til ny grøn og mere energieffektive løsning . energibesparelse skulle også fortsat være en naturlig førstevalg , da den energi vi ikke bruge , hverken skulle producere , transportere eller betales.udspillet lægge afgørende vægt på dansker mulighed for direkte at deltage i og tage ejerskab for den lokal udbygning af vedvare energiløsning . det være blandt anden sådan , at lokal modstand mod landbasere vindmølle og anden ve-anlæg kunne imødekomme . den menneske , som skulle leve med gen fra anlægg , skulle have del i beslutning , ejerskab og gevinst fra samme anlæg . vift af tiltag betale gennem etablering af en national grøn fond , finansiere via udstedelse af grøn obligation . den samle vifte af tiltag sikre en accelerere grøn omstilling basere på forurenere betaler-princippet , som tildele befolkning indflydelse og ansvar og sikre social balance og retfærdighed.dette udspil handle om at afbøde prisstigninger på energi og accelerere den grøn omstilling indenfor følge område : ve-produktion ; energi til opvarmning og energi til anlægsprojekt . desuden indeholde udspille forslag til her-og-nu indsatse , som gøre den kollektive trafik billig og fremme samkørsel . altså en både billig og mere bæredygtig mobilitet.læs det her "
AL,""," hvorfor vi sige ja til afskaffelse af forsvarsforbehold . den 1. juni stemme vi om danmark forsvarsforbehold . alternative håbe , at danmark stemme ja , så vi deltage i den udenrigs- sikkerhed- og forsvarspolitisk fællesskab uden forbehold.d gøre vi fordi , at alternativ have en målsætning om , at danmark skulle være den god land for verden . ikke bare i verden , men for verden . den målsætning blive bare svær at forfølge , hvis vi stå udenfor.vi være en lille og rig land , og have både pligt og en interesse i at præge udvikling . og det være bare nem at præge udvikling ved at sidde med fra start af samtalen.d som vi kunne og skulle bidrage med ved bord være ønske om , at den langsigtet global fred også være en del af eu fremtidig sikkerheds- og forsvarspolitik . når den næste strategisk kompas skulle skrive , burde Danmark være med , for at minde al om , at Europa blive føde som en fredsprojekt , og det skulle eu fortsætte med at være . for den god forsvar være ikke en angreb . den god forsvar være stabil fred og rolig nabo . det sikre gennem en langsigtet og helhedsorientere forsvarspolitik . hovedløs oprustning gøre det ikke alene , og på sigt handle det om nedrustning.eu være en politisk spiller . nato være en forsvarsalliance . eu kunne se helhedsorienter på ting , fordi eu have en bred pallette af politik . handelspolitik , energipolitik og forsyningspolitik . derfor være det eu der skulle sætte en agenda for den langsigtet fred og forsøge at rykke på den reforme af fn som være meget og mere nødvendig . derfor være det vigtig , at danmark være med . fordi eu være anden og mere end nato.vi skulle også huske , at usa allerede med obama og sidenhen med trump have vende sig mere mod kina – og sig selv . og vi skulle huske , at da Danmark sammen med usa , uk og australien indlede en ulovlig angrebskrig i irak , sige stor nato-lande som Frankrig og Tyskland fra . måske , have Danmark have nemmere ved at sige fra , hvis vi have kunne læne vi op ad en eu-forsvarssamarbejde.afstemningen ændre desværre ikke situation i ukraine . det kunne vi godt slå fast . og vi forstå sådan se godt , hvis nogen føle , at regering bruge krig til at manipulere med . og føle sig vret over det.men valg den 1. juni handle ikke om utilfredshed med regering . det handle ikke om dårlig timing af valg , en dårligt formulere spørgsmål på valgsedl eller generel utilfredshed med en magtfuldkommen regering.valg handle om , hvad du mene være den god for Danmark , og den god for verden . skulle vi være helhjertet med i fællesskab eller skulle vi fortsætte med at stå udenfor ? ingen vide , hvad fremtid bringe , men den sikr måde , at spå om fremtid være ved at være med til at skabe den selv . ikke ved at overlade det til al den andre.stem med mod . stem med håb . for vi have så sandelig brug for begge del i denne tid . "
AL,""," landsmøde 2022 . denne forår byde på en spændende tid for alternative , der siden sommerferie have ligge lun svinge med en støde stige trend i meningsmåling . vi have få stabilisere vores organisation , og have nu kikkert stift rette mod folkeafstemning om forsvarsforbehold den 1. juni og folketingsvalg – så hel alternative være på en ene eller anden måde i grøn valgkampsstemning . det blive vidunderligt at se hinanden igen til vores første fysisk landsmød i tre år - dag blive fantastisk og grøn ! på landsmød være du med til at bestemme hvem , der strategisk skulle lede alternative frem mod 2023 og folketingsvalg , når vi vælger / genvælge politisk leder og medlem til hovedbestyrelse . lørdag stå i politikk tegn og søndag på afstemning og debat . hvornår den 7-8 . maj 2022 . lørdag klokke 09.00-01.00 og søndag klokke 09.00-17.00hvor odense Congress cent i odense , ørbækvej 350 , 5220 odensehvordan køb din billet her - senest d. 6. april . vi kunne maksimalt være 250 alternativist fysisk til sted , men al kunne være med og stemme via livestream . gå ind på alleos og find meget information om hvordan du som medlem kunne være med i landsmød eller opstille til post . det være også alleos vi bruge på selve dag til afstemning og her kunne du se program når det være klar.gå ind på dialog for at se hel indbydels til landsmød . på dialog kunne du også starte en diskussion om landsmød , eller om forslag til vedtægtsændring , når de være offentliggjort . "
AL,""," vores handicappolitik . alternative arbejde for en Danmark , hvor menneske med fysisk og psykisk funktionsnedsættels have mulighed for at udleve deres drøm og ambition på lige fod med anden mennesker.alternativet arbejde for , at menneske med fysisk og psykisk funktionsnedsættels blive møde med værdighed , og anerkendes på lige fod med anden menneske . livstilfredshed for alle.alternativet arbejde for øge fokus på tilgængelighed og tilpasning , som en forudsætning for , at menneske med fysisk og psykisk funktionsnedsættelse opleve at blive inkludere og være en del af samfund . for at nå hertil være det vigtig med markant meget specialisering på område . i forlængelse heraf ville alternative hindre , at kommune omkostningsfrit kunne tilsidesætte gælde lovgivning.alternativ ønske en forandring af arbejdsmarked og uddannelse , så handicappet i videst mulig omfang få adgang . derudover ønske alternative en forandring af den politisk system og deres organisering , samt en markant styrkelse af retssikkerhede , således at danmark leve op til international forpligtelse for menneske med fysisk eller psykisk funktionsnedsættelse , herunder fn ’ s handicapkonvention og eu ’ s erklære mål om en mere retfærdig og inkludere eu . "
